airport,destination,slug,option,mode,fare_local,currency,fare_usd_mid,approx,time,stops,guide
SFO,Downtown San Francisco,sfo-to-downtown-san-francisco,BART,rail,$11.80,USD,11.8,False,30–35 min,10 stops,https://www.travelopshq.com/transit/sfo-to-downtown-san-francisco
SFO,Downtown San Francisco,sfo-to-downtown-san-francisco,SamTrans Route 292,bus,$2.25,USD,2.25,False,55–90 min,,https://www.travelopshq.com/transit/sfo-to-downtown-san-francisco
SFO,Downtown San Francisco,sfo-to-downtown-san-francisco,Lyft / Uber,ride,$30–80,USD,55.0,True,25–55 min,door-to-door,https://www.travelopshq.com/transit/sfo-to-downtown-san-francisco
SIN,Central Singapore,sin-to-central-singapore,MRT (East-West Line),rail,~SGD 2.30,SGD,1.78,True,40–45 min,11 stops,https://www.travelopshq.com/transit/sin-to-central-singapore
SIN,Central Singapore,sin-to-central-singapore,Metered Taxi,taxi,SGD 25–45,SGD,27.05,True,20–35 min,door-to-door,https://www.travelopshq.com/transit/sin-to-central-singapore
SIN,Central Singapore,sin-to-central-singapore,Grab (ride-hail),ride,SGD 25–40,SGD,25.12,True,25–45 min,door-to-door,https://www.travelopshq.com/transit/sin-to-central-singapore
SYD,Sydney CBD,syd-to-sydney-cbd,Airport Link Train,rail,$22–23,AUD,15.6,True,13–15 min,4 stops,https://www.travelopshq.com/transit/syd-to-sydney-cbd
SYD,Sydney CBD,syd-to-sydney-cbd,Bus 420 + train via Mascot,bus,~$4–6,AUD,3.47,True,40–60 min,~4 stops,https://www.travelopshq.com/transit/syd-to-sydney-cbd
SYD,Sydney CBD,syd-to-sydney-cbd,Rideshare (Uber / DiDi),ride,$45–65,AUD,38.12,True,20–55 min,door-to-door,https://www.travelopshq.com/transit/syd-to-sydney-cbd
SYD,Sydney CBD,syd-to-sydney-cbd,Taxi (fixed CBD fare),taxi,$60 flat,AUD,41.59,False,20–55 min,door-to-door,https://www.travelopshq.com/transit/syd-to-sydney-cbd
TPE,Central Taipei,tpe-to-central-taipei,Airport MRT Express,rail,NT$160,TWD,4.98,False,35–39 min,3 stops,https://www.travelopshq.com/transit/tpe-to-central-taipei
TPE,Central Taipei,tpe-to-central-taipei,Kuo-Kuang 1819 bus,bus,NT$135,TWD,4.21,False,60–80 min,6 stops,https://www.travelopshq.com/transit/tpe-to-central-taipei
TPE,Central Taipei,tpe-to-central-taipei,Official Metered Taxi,taxi,~$40–50,USD,45.0,True,45–70 min,door-to-door,https://www.travelopshq.com/transit/tpe-to-central-taipei
VIE,Central Vienna,vie-to-central-vienna,S7 S-Bahn + tram 18,rail,€5.40,EUR,6.16,False,18 min + tram,,https://www.travelopshq.com/transit/vie-to-central-vienna
VIE,Central Vienna,vie-to-central-vienna,ÖBB Railjet,regional,€5.40,EUR,6.16,False,15 min,non-stop,https://www.travelopshq.com/transit/vie-to-central-vienna
VIE,Central Vienna,vie-to-central-vienna,CAT by bus,bus,€14.90,EUR,17.01,False,21 min,non-stop,https://www.travelopshq.com/transit/vie-to-central-vienna
VIE,Central Vienna,vie-to-central-vienna,Licensed Airport Taxi,taxi,€36–45,EUR,46.23,True,20–35 min,door-to-door,https://www.travelopshq.com/transit/vie-to-central-vienna
YYZ,Downtown Toronto,yyz-to-downtown-toronto,UP Express,regional,$9.25,CAD,6.53,False,28 min,4 stops,https://www.travelopshq.com/transit/yyz-to-downtown-toronto
YYZ,Downtown Toronto,yyz-to-downtown-toronto,TTC 900 bus + subway,bus,$3.30,CAD,2.33,False,55–80 min,~17 stops,https://www.travelopshq.com/transit/yyz-to-downtown-toronto
YYZ,Downtown Toronto,yyz-to-downtown-toronto,Uber / Lyft,ride,$40–65,CAD,37.04,True,30–65 min,door-to-door,https://www.travelopshq.com/transit/yyz-to-downtown-toronto
YYZ,Downtown Toronto,yyz-to-downtown-toronto,Taxi (flat rate),taxi,$60–75,CAD,47.63,True,30–65 min,door-to-door,https://www.travelopshq.com/transit/yyz-to-downtown-toronto
ZRH,Central Zurich,zrh-to-central-zurich,S-Bahn / IR Train,rail,CHF 7.20,CHF,8.9,False,10–13 min,,https://www.travelopshq.com/transit/zrh-to-central-zurich
ZRH,Central Zurich,zrh-to-central-zurich,Tram Line 10,rail,CHF 7.20,CHF,8.9,False,35–45 min,~25 stops,https://www.travelopshq.com/transit/zrh-to-central-zurich
ZRH,Central Zurich,zrh-to-central-zurich,Metered Taxi,taxi,CHF 60–70,CHF,80.39,True,20–40 min,door-to-door,https://www.travelopshq.com/transit/zrh-to-central-zurich
ZRH,Central Zurich,zrh-to-central-zurich,Uber,ride,CHF 40–60,CHF,61.84,True,20–40 min,door-to-door,https://www.travelopshq.com/transit/zrh-to-central-zurich
